timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
133064.5223909999,-1692.0088944743748,-3523.52236026047,-2921.4019877272235,-2874.311402357984,-3165.1568414085323,-3484.2814281471287,-1809.78477620748,-2013.2829157637557
133064.4906578,-1588.7054180300736,-3464.2409937669036,-3017.143589625489,-2946.094029676203,-3149.244494832396,-3356.4720578756405,-1778.6765612388028,-2105.8528400484133
133064.49465779998,-1627.6590953025634,-3359.8649828347548,-2959.659443084531,-3034.606937719219,-3213.925903087962,-3335.6692194618845,-1646.3095305744746,-2066.988045884734
133064.49865779997,-1741.617368931904,-3400.6771727341024,-2861.206644433039,-2971.340325038472,-3308.261440561586,-3409.3943530716724,-1623.8404394607771,-1974.310204583878
133064.50265779995,-1711.3592187445427,-3516.110312251486,-2901.0351829533497,-2878.401771593305,-3251.968572150895,-3526.296072048971,-1697.3025908272077,-1963.949472536829
133064.50665779994,-1671.6272467451986,-3483.9908554692097,-3010.3105914963,-2925.599750109732,-3154.781091783177,-3462.425962267931,-1819.6967271353874,-2032.0610004512669
133064.51065779992,-1582.428594167214,-3443.5635346697018,-2978.5152350086255,-3029.4234284816303,-3193.851941091054,-3343.396287369286,-1756.0576435880535,-2110.1545031180385
133064.5146577999,-1648.6005843811436,-3353.7629565984557,-2939.924948206538,-2990.2767927902096,-3301.486766515585,-3385.4734463064015,-1631.7969619948522,-2049.5467002894525
133064.5186577999,-1749.230058771975,-3422.036360037191,-2855.5313968174337,-2951.813980780719,-3270.56766825976,-3517.0022865536557,-1672.9540323262254,-1967.2568322242003
133064.52265779988,-1692.0088944743748,-3523.52236026047,-2921.4019877272235,-2874.311402357984,-3232.596594628286,-3484.2814281471287,-1809.78477620748,-2013.2829157637557
133064.5067727,-1588.7054180300736,-3464.2409937669036,-3017.143589625489,-2946.094029676203,-3149.244494832396,-3439.2182158491873,-1778.6765612388028,-2105.8528400484133
133064.51077269998,-1627.6590953025634,-3359.8649828347548,-2959.659443084531,-3034.606937719219,-3213.925903087962,-3335.6692194618845,-1732.326552027649,-2066.988045884734
133064.51477269997,-1741.617368931904,-3400.6771727341024,-2861.206644433039,-2971.340325038472,-3308.261440561586,-3409.3943530716724,-1623.8404394607771,-2031.6443499647798
133064.51877269996,-1751.103588977139,-3516.110312251486,-2901.0351829533497,-2878.401771593305,-3251.968572150895,-3526.296072048971,-1697.3025908272077,-1963.949472536829
133064.52277269994,-1671.6272467451986,-3525.218648117024,-3010.3105914963,-2925.599750109732,-3154.781091783177,-3462.425962267931,-1819.6967271353874,-2032.0610004512669
133064.52677269993,-1582.428594167214,-3443.5635346697018,-3018.392842592936,-3029.4234284816303,-3193.851941091054,-3343.396287369286,-1756.0576435880535,-2110.1545031180385
133064.53077269992,-1648.6005843811436,-3353.7629565984557,-2939.924948206538,-3034.2178776672936,-3301.486766515585,-3385.4734463064015,-1631.7969619948522,-2049.5467002894525
133064.5347726999,-1749.230058771975,-3422.036360037191,-2855.5313968174337,-2951.813980780719,-3309.578098008406,-3517.0022865536557,-1672.9540323262254,-1967.2568322242003
133064.5387726999,-1692.0088944743748,-3523.52236026047,-2921.4019877272235,-2874.311402357984,-3232.596594628286,-3528.685613229646,-1809.78477620748,-2013.2829157637557
133064.50709169998,-1588.7054180300736,-3464.2409937669036,-3017.143589625489,-2946.094029676203,-3149.244494832396,-3439.2182158491873,-1822.7592653717716,-2105.8528400484133
133064.51109169997,-1627.6590953025634,-3359.8649828347548,-2959.659443084531,-3034.606937719219,-3213.925903087962,-3335.6692194618845,-1732.326552027649,-2108.5918018592065
133064.51509169996,-1670.5679836056213,-3400.6771727341024,-2861.206644433039,-2971.340325038472,-3308.261440561586,-3409.3943530716724,-1623.8404394607771,-2031.6443499647798
133064.51909169994,-1751.103588977139,-3444.4373481795014,-2901.0351829533497,-2878.401771593305,-3251.968572150895,-3526.296072048971,-1697.3025908272077,-1963.949472536829
133064.52309169993,-1671.6272467451986,-3525.218648117024,-2942.696564518996,-2925.599750109732,-3154.781091783177,-3462.425962267931,-1819.6967271353874,-2032.0610004512669
133064.5270916999,-1582.428594167214,-3443.5635346697018,-3018.392842592936,-2967.0040866141426,-3193.851941091054,-3343.396287369286,-1756.0576435880535,-2110.1545031180385
133064.5310916999,-1648.6005843811436,-3353.7629565984557,-2939.924948206538,-3034.2178776672936,-3234.934447399908,-3385.4734463064015,-1631.7969619948522,-2049.5467002894525
133064.5350916999,-1749.230058771975,-3422.036360037191,-2855.5313968174337,-2951.813980780719,-3309.578098008406,-3434.629472561714,-1672.9540323262254,-1967.2568322242003
133064.53909169987,-1692.0088944743748,-3523.52236026047,-2921.4019877272235,-2874.311402357984,-3232.596594628286,-3528.685613229646,-1723.5555878049838,-2013.2829157637557
133064.5073777,-1588.7054180300736,-3464.2409937669036,-3017.143589625489,-2946.094029676203,-3149.244494832396,-3439.2182158491873,-1822.7592653717716,-2050.851832618038
133064.5113777,-1581.796982763348,-3359.8649828347548,-2959.659443084531,-3034.606937719219,-3213.925903087962,-3335.6692194618845,-1732.326552027649,-2108.5918018592065
133064.51537769998,-1670.5679836056213,-3353.273662942489,-2861.206644433039,-2971.340325038472,-3308.261440561586,-3409.3943530716724,-1623.8404394607771,-2031.6443499647798
133064.51937769997,-1751.103588977139,-3444.4373481795014,-2855.475517456295,-2878.401771593305,-3251.968572150895,-3526.296072048971,-1697.3025908272077,-1963.949472536829
133064.52337769995,-1671.6272467451986,-3525.218648117024,-2942.696564518996,-2875.7731715207606,-3154.781091783177,-3462.425962267931,-1819.6967271353874,-2032.0610004512669
133064.52737769994,-1582.428594167214,-3443.5635346697018,-3018.392842592936,-2967.0040866141426,-3149.146356704397,-3343.396287369286,-1756.0576435880535,-2110.1545031180385
133064.53137769992,-1648.6005843811436,-3353.7629565984557,-2939.924948206538,-3034.2178776672936,-3234.934447399908,-3334.562808111347,-1631.7969619948522,-2049.5467002894525
133064.5353776999,-1749.230058771975,-3422.036360037191,-2855.5313968174337,-2951.813980780719,-3309.578098008406,-3434.629472561714,-1622.2807067930053,-1967.2568322242003
